,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
62,Super built-up  Area,Ready To Move,Malleshpalya,2,A idse ,1065.0,2.0,2.0,50.0,2.0,4694.835680751174
63,Plot  Area,Ready To Move,Kammanahalli,2,,1200.0,1.0,1.0,81.0,2.0,6750.0
64,Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1210.0,2.0,2.0,58.0,2.0,4793.388429752066
65,Built-up  Area,Ready To Move,other,2,PNncysi,885.0,2.0,3.0,40.0,2.0,4519.774011299435
66,Super built-up  Area,Ready To Move,Anekal,2,,925.0,2.0,1.0,40.0,2.0,4324.324324324324
67,Super built-up  Area,18-Apr,Whitefield,2,Prtates,1216.0,2.0,1.0,66.88,2.0,5500.0
68,Super built-up  Area,Ready To Move,Haralur Road,3,,1817.0,3.0,2.0,110.0,3.0,6053.935057787562
69,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185.0,2.0,2.0,40.17,2.0,3389.8734177215188
70,Super built-up  Area,Ready To Move,Tumkur Road,2,Sahtsva,992.0,2.0,1.0,60.0,2.0,6048.387096774193
71,Super built-up  Area,Ready To Move,Harlur,3,,1460.0,3.0,1.0,73.0,3.0,5000.0
72,Super built-up  Area,Ready To Move,Whitefield,3,BMttaor,1608.0,2.0,3.0,63.0,3.0,3917.910447761194
73,Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255.0,2.0,1.0,58.0,2.0,4621.5139442231075
74,Built-up  Area,21-Dec,other,2,,700.0,2.0,1.0,35.0,2.0,5000.0
75,Super built-up  Area,Ready To Move,Old Madras Road,3,Brglede,1720.0,3.0,2.0,100.0,3.0,5813.953488372093
76,Super built-up  Area,Ready To Move,other,2,EsadeNS,1075.0,2.0,1.0,57.0,2.0,5302.325581395349
77,Super built-up  Area,21-Dec,Whitefield,2,Preaunt,1132.0,2.0,1.0,79.28,2.0,7003.533568904593
78,Plot  Area,Ready To Move,Dasanapura,2,,1500.0,3.0,1.0,65.0,2.0,4333.333333333333
79,Super built-up  Area,17-Sep,Bannerghatta Road,2,GRarken,1280.0,2.0,2.0,60.16,2.0,4700.0
80,Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1767.0,3.0,2.0,109.0,3.0,6168.647425014148
81,Super built-up  Area,18-May,Sarjapur  Road,2,PualeSk,1346.0,2.0,1.0,69.61,2.0,5171.619613670134
82,Super built-up  Area,Ready To Move,Sarjapur  Road,4,DSndsod,2500.0,4.0,3.0,225.0,4.0,9000.0
83,Super built-up  Area,21-Feb,Kanakpura Road,3,,1868.0,3.0,2.0,113.0,3.0,6049.250535331906
84,Super built-up  Area,18-Feb,Varthur,2,HioraTr,1085.0,2.0,1.0,45.0,2.0,4147.465437788019
85,Super built-up  Area,Ready To Move,Benson Town,4,,1400.0,3.0,2.0,91.15,4.0,6510.714285714285
86,Super built-up  Area,Ready To Move,Whitefield,3,UKe 2nz,2225.0,3.0,3.0,115.0,3.0,5168.539325842697
87,Super built-up  Area,Ready To Move,Doddathoguru,2,LancyRe,970.0,2.0,0.0,33.0,2.0,3402.061855670103
88,Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1060.0,2.0,1.0,52.0,2.0,4905.66037735849
89,Built-up  Area,Ready To Move,BTM 2nd Stage,2,Komesa ,1100.0,2.0,2.0,70.0,2.0,6363.636363636364
90,Super built-up  Area,Ready To Move,Bhoganhalli,3,Prsun S,1703.0,3.0,2.0,120.0,3.0,7046.388725778039
91,Super built-up  Area,Ready To Move,Kothanur,2,,1094.0,2.0,2.0,54.0,2.0,4936.014625228519
92,Built-up  Area,Ready To Move,Tumkur Road,3,Mairer ,1060.0,2.0,2.0,58.3,3.0,5500.0
93,Super built-up  Area,Ready To Move,other,3,Roarkan,1820.0,3.0,2.0,79.5,3.0,4368.131868131868
94,Super built-up  Area,18-Jun,Bommasandra Industrial Area,2,,1005.0,2.0,1.0,39.77,2.0,3957.213930348259
95,Super built-up  Area,Ready To Move,Koramangala,2,Ansna K,1253.0,2.0,1.0,102.0,2.0,8140.462889066241
96,Super built-up  Area,18-Jun,Kundalahalli,2,Dieldli,1047.0,2.0,1.0,89.0,2.0,8500.477554918816
97,Super built-up  Area,Ready To Move,other,2,,925.0,2.0,1.0,68.0,2.0,7351.351351351352
98,Plot  Area,Ready To Move,other,2,,1200.0,2.0,3.0,135.0,2.0,11250.0
99,Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1884.0,3.0,3.0,98.0,3.0,5201.698513800425
100,Built-up  Area,Ready To Move,other,2,,1100.0,2.0,2.0,55.0,2.0,5000.0
101,Plot  Area,Ready To Move,other,4,,1600.0,3.0,1.0,172.0,4.0,10750.0
102,Built-up  Area,Ready To Move,other,2,Nastadr,1100.0,2.0,1.0,38.0,2.0,3454.5454545454545
103,Plot  Area,Ready To Move,9th Phase JP Nagar,2,,1200.0,2.0,0.0,80.0,2.0,6666.666666666667
104,Super built-up  Area,18-Jul,Kasavanhalli,3,Oca 2 V,1600.0,3.0,3.0,79.0,3.0,4937.5
105,Super built-up  Area,Ready To Move,other,3,E onsg ,2150.0,3.0,0.0,170.0,3.0,7906.976744186047
106,Built-up  Area,Ready To Move,Kudlu Gate,2,Brlms P,1164.0,2.0,2.0,75.0,2.0,6443.298969072165
107,Super built-up  Area,Ready To Move,Sanjay nagar,2,Camesa ,1150.0,2.0,3.0,72.2,2.0,6278.260869565217
108,Super built-up  Area,Ready To Move,Domlur,3,Saiewas,2100.0,3.0,2.0,145.0,3.0,6904.761904761905
109,Plot  Area,Ready To Move,Bannerghatta,3,,1375.0,3.0,0.0,57.0,3.0,4145.454545454545
110,Super built-up  Area,Ready To Move,Mahadevpura,1,,730.0,1.0,1.0,35.0,1.0,4794.520547945205
111,Super built-up  Area,Ready To Move,Yelahanka,2,NCowsar,1234.0,2.0,2.0,80.0,2.0,6482.982171799027
112,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,Mauner ,1345.0,3.0,2.0,60.0,3.0,4460.966542750929
113,Super built-up  Area,Ready To Move,Marathahalli,2,PuilaMi,1215.0,2.0,1.0,67.0,2.0,5514.40329218107
114,Super built-up  Area,19-Jul,Kanakpura Road,2,Soena A,1296.0,2.0,1.0,89.0,2.0,6867.283950617284
115,Super built-up  Area,Ready To Move,Hennur Road,2,Maity W,1155.0,2.0,1.0,69.18,2.0,5989.6103896103905
116,Super built-up  Area,Ready To Move,other,2,SatonLi,1220.0,2.0,2.0,60.0,2.0,4918.0327868852455
117,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6,,3900.0,6.0,,195.0,6.0,5000.0
118,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,,1665.0,3.0,,110.0,3.0,6606.606606606607
119,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1555.0,2.0,1.0,82.0,3.0,5273.311897106109
120,Super built-up  Area,19-Dec,Whitefield,1,Oreldhi,524.0,1.0,1.0,29.0,1.0,5534.3511450381675
121,Super built-up  Area,Ready To Move,Chikkalasandra,3,SLarei ,1365.0,2.0,2.0,49.0,3.0,3589.74358974359
122,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1187.0,2.0,2.0,40.14,2.0,3381.6343723673126
123,Super built-up  Area,Ready To Move,Kenchenahalli,1,AriosPa,700.0,1.0,1.0,35.0,1.0,5000.0
124,Super built-up  Area,Ready To Move,Whitefield,3,Skstark,1520.0,2.0,2.0,150.0,3.0,9868.421052631578
125,Super built-up  Area,Ready To Move,other,3,,1950.0,3.0,2.0,90.0,3.0,4615.384615384615
126,Carpet  Area,Ready To Move,Sultan Palaya,3,,1700.0,3.0,3.0,120.0,3.0,7058.823529411765
127,Super built-up  Area,18-Apr,EPIP Zone,3,BrontLa,2330.0,3.0,2.0,162.0,3.0,6952.789699570815
128,Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1830.0,3.0,,90.0,3.0,4918.0327868852455
129,Built-up  Area,Ready To Move,other,3,Malah A,1400.0,3.0,2.0,98.0,3.0,7000.0
130,Super built-up  Area,Ready To Move,other,2,PronsAs,1330.0,2.0,1.0,56.0,2.0,4210.526315789473
131,Built-up  Area,Ready To Move,Hosur Road,5,,3300.0,5.0,2.0,240.0,5.0,7272.727272727273
132,Super built-up  Area,19-Jul,Hormavu,2,,1263.0,2.0,1.0,47.36,2.0,3749.802058590657
133,Super built-up  Area,18-Jul,Electronic City,2,GMown E,1025.0,2.0,1.0,54.1,2.0,5278.048780487805
134,Built-up  Area,Ready To Move,Thanisandra,3,MSureRR,2072.0,3.0,2.0,122.0,3.0,5888.030888030888
135,Super built-up  Area,18-May,Thanisandra,3,SLityee,1370.0,2.0,1.0,61.0,3.0,4452.554744525547
136,Plot  Area,18-Jan,Devanahalli,3,Ozdiaan,1200.0,3.0,1.0,145.0,3.0,12083.333333333334
137,Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1140.0,2.0,2.0,40.0,2.0,3508.7719298245615
138,Built-up  Area,Ready To Move,other,2,Puodse ,1156.0,2.0,2.0,49.5,2.0,4282.006920415225
139,Super built-up  Area,Ready To Move,other,3,Sorisa ,1670.0,3.0,2.0,160.0,3.0,9580.838323353293
140,Super built-up  Area,Ready To Move,Shampura,2,,700.0,1.0,2.0,35.0,2.0,5000.0
141,Super built-up  Area,Ready To Move,Uttarahalli,3,,1500.0,3.0,1.0,68.0,3.0,4533.333333333333
142,Super built-up  Area,18-Mar,Sarjapur  Road,2,SJityaz,1242.0,2.0,1.0,75.0,2.0,6038.647342995169
143,Super built-up  Area,Ready To Move,Vidyaranyapura,3,,1200.0,2.0,2.0,65.0,3.0,5416.666666666667
144,Super built-up  Area,17-Feb,Sarjapur  Road,3,MJinele,1200.0,2.0,2.0,44.0,3.0,3666.6666666666665
145,Super built-up  Area,Ready To Move,Lingadheeranahalli,4,Soiewre,2245.0,4.0,2.0,154.0,4.0,6859.688195991092
146,Super built-up  Area,Ready To Move,Whitefield,2,Gotis A,1250.0,2.0,2.0,82.0,2.0,6560.0
147,Super built-up  Area,Ready To Move,Whitefield,4,UKe 2nz,4075.0,5.0,3.0,226.0,4.0,5546.01226993865
148,Super built-up  Area,Ready To Move,Hennur Road,5,,5600.0,5.0,3.0,515.0,5.0,9196.42857142857
149,Super built-up  Area,19-Mar,Old Madras Road,2,Saesttt,1157.0,2.0,2.0,47.32,2.0,4089.887640449438
150,Built-up  Area,Ready To Move,Mallasandra,2,GMilse ,1325.0,2.0,2.0,73.0,2.0,5509.433962264151
151,Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ahriaup,1050.0,2.0,1.0,63.5,2.0,6047.619047619048
152,Plot  Area,Ready To Move,other,4,,1200.0,4.0,2.0,86.0,4.0,7166.666666666667
153,Super built-up  Area,Ready To Move,Kalena Agrahara,2,NDfelip,1222.0,2.0,3.0,48.0,2.0,3927.986906710311
154,Super built-up  Area,Ready To Move,HSR Layout,2,Veyal V,1100.0,2.0,2.0,44.0,2.0,4000.0
155,Plot  Area,Ready To Move,other,4,,1500.0,4.0,0.0,110.0,4.0,7333.333333333333
156,Built-up  Area,Ready To Move,TC Palaya,3,,1350.0,3.0,1.0,60.0,3.0,4444.444444444444
157,Super built-up  Area,21-Jan,Kanakpura Road,3,PrarePa,1300.0,3.0,1.0,64.0,3.0,4923.076923076923
158,Super built-up  Area,20-Dec,Banashankari Stage VI,3,Brens7 ,1410.5,2.0,0.0,70.385,3.0,4990.074441687346
159,Built-up  Area,Ready To Move,Kudlu,2,MJinala,1030.0,2.0,2.0,75.0,2.0,7281.553398058252
160,Super built-up  Area,Ready To Move,Uttarahalli,2,SBiewid,1000.0,2.0,2.0,39.5,2.0,3950.0
161,Super built-up  Area,19-Jun,Budigere,1,Brstaue,764.0,1.0,1.0,32.0,1.0,4188.48167539267
162,Built-up  Area,18-Apr,Whitefield,4,,3200.0,4.0,3.0,224.0,4.0,7000.0
163,Super built-up  Area,Ready To Move,Electronic City Phase II,3,Assha A,925.0,2.0,1.0,49.82,3.0,5385.945945945946
164,Super built-up  Area,Ready To Move,Basavangudi,2,,1200.0,2.0,3.0,120.0,2.0,10000.0
165,Super built-up  Area,18-Aug,Channasandra,3,,1330.0,2.0,2.0,51.83,3.0,3896.9924812030076
166,Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1016.0,2.0,1.0,45.0,2.0,4429.133858267716
167,Super built-up  Area,Ready To Move,Basavangudi,2,,1100.0,2.0,3.0,93.0,2.0,8454.545454545454
168,Built-up  Area,18-Apr,Banashankari Stage III,2,,1304.0,2.0,0.0,111.0,2.0,8512.269938650306
169,Built-up  Area,Ready To Move,other,2,,1158.0,2.0,3.0,75.0,2.0,6476.683937823835
170,Super built-up  Area,Ready To Move,Kudlu,2,,1027.0,2.0,2.0,43.0,2.0,4186.952288218111
171,Built-up  Area,Ready To Move,other,4,,3500.0,4.0,0.0,150.0,4.0,4285.714285714285
172,Super built-up  Area,Ready To Move,Uttarahalli,3,,1350.0,2.0,3.0,47.24,3.0,3499.259259259259
173,Super built-up  Area,Ready To Move,other,4,SNtua S,3317.5,5.0,0.0,268.5,4.0,8093.443858327054
174,Super built-up  Area,18-Oct,Sarjapur  Road,2,,1230.0,2.0,1.0,65.0,2.0,5284.552845528456
175,Super built-up  Area,Ready To Move,Hormavu,2,Atreli ,1250.0,2.0,2.0,60.0,2.0,4800.0
176,Super built-up  Area,Ready To Move,Indira Nagar,3,MCtleas,1650.0,3.0,2.0,200.0,3.0,12121.212121212122
177,Built-up  Area,Ready To Move,Banashankari,3,Naashi ,1350.0,2.0,0.0,83.0,3.0,6148.148148148148
178,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2,Prllsan,1178.0,2.0,1.0,75.0,2.0,6366.723259762309
179,Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,3600.0,3.0,2.0,150.0,3.0,4166.666666666667
180,Super built-up  Area,Ready To Move,other,2,,1225.0,2.0,,53.0,2.0,4326.530612244898
181,Built-up  Area,Ready To Move,Chandapura,1,,620.0,1.0,1.0,27.0,1.0,4354.8387096774195
182,Super built-up  Area,Ready To Move,Gottigere,3,MBireap,1230.0,2.0,2.0,52.0,3.0,4227.642276422765
183,Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550.0,3.0,3.0,63.5,3.0,4096.774193548387
184,Super built-up  Area,16-Dec,Hegde Nagar,3,Soiniy ,1703.0,3.0,2.0,130.0,3.0,7633.587786259542
185,Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1093.0,2.0,2.0,70.0,2.0,6404.391582799634
186,Built-up  Area,Ready To Move,other,4,,2597.0,4.0,3.0,189.0,4.0,7277.628032345014
187,Super built-up  Area,18-Aug,LB Shastri Nagar,2,,1250.0,2.0,2.0,48.5,2.0,3880.0
188,Super built-up  Area,20-Jan,Balagere,2,Soresea,1007.0,2.0,1.0,65.0,2.0,6454.816285998014
189,Built-up  Area,Ready To Move,other,5,,2500.0,5.0,2.0,120.0,5.0,4800.0
190,Super built-up  Area,18-Dec,Yeshwanthpur,3,,1313.0,3.0,1.0,96.0,3.0,7311.500380807312
191,Built-up  Area,Ready To Move,5th Block Hbr Layout,6,,5100.0,5.0,3.0,300.0,6.0,5882.35294117647
192,Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,1053.0,2.0,1.0,53.0,2.0,5033.2383665717
193,Plot  Area,Ready To Move,other,2,,1200.0,1.0,0.0,42.0,2.0,3500.0
194,Built-up  Area,Ready To Move,TC Palaya,3,,1100.0,3.0,1.0,50.0,3.0,4545.454545454545
195,Built-up  Area,Ready To Move,Hebbal,3,,2250.0,3.0,,219.0,3.0,9733.333333333334
196,Super built-up  Area,Ready To Move,Battarahalli,2,SraveHi,1097.0,2.0,1.0,49.0,2.0,4466.727438468551
197,Super built-up  Area,18-Aug,Haralur Road,3,SNnia E,1520.0,2.0,2.0,125.0,3.0,8223.684210526315
198,Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,2265.0,3.0,3.0,159.0,3.0,7019.867549668874
199,Super built-up  Area,Ready To Move,other,2,Prncyay,1145.0,2.0,2.0,44.0,2.0,3842.7947598253277
200,Super built-up  Area,Ready To Move,Sarjapur,3,Coa 3t ,1445.0,3.0,1.0,50.0,3.0,3460.2076124567475
201,Super built-up  Area,17-Nov,Nagavarapalya,2,PuonsSe,1392.0,2.0,1.0,130.0,2.0,9339.080459770115
202,Super built-up  Area,Ready To Move,Kudlu Gate,2,ACiteda,1238.0,2.0,3.0,55.0,2.0,4442.64943457189
203,Super built-up  Area,18-Apr,Haralur Road,2,SNnia E,1230.0,2.0,1.0,67.65,2.0,5500.000000000001
204,Super built-up  Area,18-Apr,other,2,,1120.0,2.0,2.0,40.0,2.0,3571.4285714285716
205,Super built-up  Area,18-Aug,Ramagondanahalli,2,ViistLa,1235.0,2.0,1.0,49.3,2.0,3991.902834008097
206,Super built-up  Area,Ready To Move,Koramangala,3,,2292.0,3.0,2.0,286.0,3.0,12478.184991273996
207,Super built-up  Area,Ready To Move,Whitefield,4,,4104.0,4.0,2.0,360.0,4.0,8771.929824561403
208,Super built-up  Area,Ready To Move,other,3,,1477.0,2.0,2.0,75.0,3.0,5077.860528097495
209,Super built-up  Area,Ready To Move,Banaswadi,2,Naavehi,1008.0,2.0,2.0,52.0,2.0,5158.730158730159
210,Super built-up  Area,Ready To Move,other,3,,1450.0,2.0,1.0,50.75,3.0,3500.0
211,Super built-up  Area,Ready To Move,Jakkur,3,BrdgeNo,1710.0,3.0,2.0,107.0,3.0,6257.309941520468
212,Super built-up  Area,Ready To Move,Pai Layout,2,,810.0,2.0,2.0,34.5,2.0,4259.259259259259
213,Super built-up  Area,Ready To Move,Hennur,3,,1935.0,3.0,2.0,102.0,3.0,5271.3178294573645
214,Super built-up  Area,Ready To Move,other,2,Indanrt,1275.0,2.0,2.0,59.0,2.0,4627.450980392156
215,Super built-up  Area,Ready To Move,Yelahanka,4,Niareum,2912.5,6.0,0.0,125.5,4.0,4309.01287553648
216,Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464.0,3.0,2.0,56.0,3.0,3825.136612021858
217,Super built-up  Area,Ready To Move,Horamavu Agara,3,,1300.0,2.0,2.0,52.0,3.0,4000.0
218,Super built-up  Area,Ready To Move,other,3,StwarSi,1330.0,3.0,2.0,65.0,3.0,4887.2180451127815
219,Built-up  Area,Ready To Move,Hennur Road,2,Koagati,1066.0,2.0,1.0,52.23,2.0,4899.624765478424
220,Built-up  Area,Ready To Move,Akshaya Nagar,2,,1200.0,2.0,2.0,45.0,2.0,3750.0
221,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1515.0,2.0,1.0,80.91,3.0,5340.59405940594
222,Super built-up  Area,Ready To Move,CV Raman Nagar,2,,1030.0,2.0,,35.0,2.0,3398.0582524271845
223,Super built-up  Area,18-Sep,Hosa Road,3,Mahesr ,1726.0,3.0,2.0,81.99,3.0,4750.289687137891
224,Super built-up  Area,Ready To Move,Jalahalli,1,Vaniai ,615.0,1.0,1.0,46.0,1.0,7479.674796747968
225,Super built-up  Area,Ready To Move,Channasandra,3,,1195.0,2.0,1.0,56.0,3.0,4686.192468619247
226,Super built-up  Area,Ready To Move,Kudlu Gate,3,Brlms P,1656.0,3.0,2.0,75.0,3.0,4528.985507246377
227,Super built-up  Area,Ready To Move,other,2,VRaceer,1200.0,2.0,2.0,45.0,2.0,3750.0
228,Super built-up  Area,Ready To Move,Kannamangala,2,VBownre,957.0,2.0,2.0,54.5,2.0,5694.879832810867
229,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,,1900.0,3.0,2.0,85.0,3.0,4473.684210526316
230,Super built-up  Area,Ready To Move,other,4,,1600.0,4.0,1.0,80.0,4.0,5000.0
231,Built-up  Area,Ready To Move,other,3,Inion P,1600.0,3.0,1.0,64.0,3.0,4000.0
232,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Tentsw ,1575.0,2.0,2.0,78.0,3.0,4952.380952380952
233,Super built-up  Area,18-Jul,Arekere,3,RRnumn ,2072.0,3.0,2.0,108.0,3.0,5212.355212355213
234,Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1299.0,2.0,1.0,105.0,2.0,8083.140877598153
235,Super built-up  Area,Ready To Move,KR Puram,2,SLontel,1100.0,2.0,2.0,45.0,2.0,4090.909090909091
